"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-06-09.nlogo"
"nu_of_neighborhoods_3_4_5_6"
"06/15/2021 23:14:32:277 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","no-of-neighborhoods","[step]","community-formation-time-list","energy-diversity","insulation-improvement","total-costs-per-household","total-co2-per-household","svo-1","svo-2","svo-3","svo-4","overall-pho-ptick-benefit","accumulated-miscomfort","count-biogas","count-electricboiler","count-ates","count-woodpellet","count-solar","count-heatpump"
"32","3","239","[37 37 37]","[0.33 0.37 0.32]","[0.5450000000000004 0.5283333333333333 0.5366666666666671]","[76.53634982118346 75.62718831156764 75.22214950470803]","[135.53501416668504 130.2839042516923 129.90000474950634]","[0.4033333333333333 0.35 0.6366666666666667]","[0.37 0.40166666666666667 0.18]","[0.21333333333333335 0.20333333333333334 0.11333333333333333]","[0.013333333333333334 0.045 0.07]","[114.46168237881506 115.79093268163042 116.22668344866482]","[0.4812787476247394 0.7840953557687493 0.4773816878663831]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[0 2 1]","[426 419 417]"
"33","3","239","[37 37 37]","[0.38 0.34 0.28]","[0.5383333333333336 0.5483333333333333 0.5599999999999996]","[78.04255192512998 77.5946323899 75.18040023101074]","[131.90382632506729 130.2014630383725 131.02808295315853]","[0.375 0.505 0.37333333333333335]","[0.25 0.23833333333333334 0.4]","[0.30666666666666664 0.205 0.17666666666666667]","[0.06833333333333333 0.051666666666666666 0.05]","[113.24597530219798 113.83008390036352 116.1781864660698]","[0.4261760440562144 0.5787890002077261 0.4104553248941528]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 3 0]","[407 440 432]"
"35","3","239","[37 37 37]","[0.33 0.34 0.42]","[0.5616666666666665 0.52 0.5499999999999998]","[73.41292579492362 76.36867885105045 79.0019085036298]","[129.15703446857964 132.34912204712148 131.57530783042264]","[0.2916666666666667 0.5833333333333334 0.5283333333333333]","[0.4683333333333333 0.255 0.20833333333333334]","[0.235 0.13333333333333333 0.22333333333333333]","[0.005 0.028333333333333332 0.04]","[118.09534478092326 114.88422471851308 112.31290020326976]","[0.5213472496311743 0.41110209570202255 0.30061600803749344]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 0 6]","[464 436 408]"
"34","3","239","[37 37 37]","[0.37 0.26 0.21]","[0.5499999999999998 0.5933333333333333 0.6116666666666668]","[76.71923001684478 73.3432205400923 71.04660196283339]","[132.49158846806407 133.0278990014466 130.60655472598327]","[0.37333333333333335 0.35333333333333333 0.38]","[0.37666666666666665 0.38 0.4]","[0.24333333333333335 0.25666666666666665 0.21833333333333332]","[0.006666666666666667 0.01 0.0016666666666666668]","[114.52227623904339 117.85538087312538 120.3457069924211]","[0.6195839184704754 0.4102797448630595 0.6417124776443862]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[1 2 2]","[427 440 449]"
"36","3","239","[37 37 37]","[0.43 0.48 0.43]","[0.5333333333333332 0.5066666666666664 0.5216666666666665]","[80.73312590885472 82.39356236571014 79.56146032464585]","[133.03119889452014 133.59689115396282 133.9692750550903]","[0.4633333333333333 0.53 0.37]","[0.24 0.23 0.41]","[0.20833333333333334 0.215 0.20833333333333334]","[0.08833333333333333 0.025 0.011666666666666667]","[110.46521151291708 108.75951967530617 111.5618310042803]","[0.5834376441800493 0.8712938439135065 0.464983609848802]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[0 1 2]","[405 424 430]"
"37","3","239","[37 37 37]","[0.24 0.24 0.19]","[0.5883333333333334 0.5499999999999998 0.565]","[71.93266824133579 73.24230192071762 70.97974866626814]","[131.35355605424297 130.38702189391375 129.3455257348647]","[0.3883333333333333 0.355 0.40166666666666667]","[0.3416666666666667 0.375 0.4066666666666667]","[0.25 0.265 0.17]","[0.02 0.005 0.021666666666666667]","[119.399880607658 118.16756966110266 120.51344260827597]","[0.6486576966295079 0.3680311160043495 0.49556476183410036]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[3 1 3]","[439 445 453]"
"38","3","239","[37 37 37]","[0.36 0.46 0.4]","[0.5366666666666666 0.5316666666666663 0.5266666666666668]","[85.71756492639284 90.51290130495858 83.20525461734942]","[133.8805807411728 135.562647523467 131.8218215754151]","[0.4716666666666667 0.545 0.6016666666666667]","[0.305 0.21666666666666667 0.18666666666666668]","[0.165 0.2 0.15833333333333333]","[0.058333333333333334 0.03833333333333333 0.05333333333333334]","[105.41282194764658 100.48292022649723 108.08983298995072]","[0.34005726724845736 0.2970962562656223 0.30604394897918313]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[3 2 3]","[437 405 435]"
"39","3","239","[37 37 37]","[0.29 0.26 0.22]","[0.5449999999999999 0.5983333333333332 0.5583333333333331]","[76.16296115215536 72.68383006400425 71.7976106958765]","[130.9971272804519 130.9021957031691 128.779115278747]","[0.515 0.39666666666666667 0.5683333333333334]","[0.26 0.36333333333333334 0.2633333333333333]","[0.14833333333333334 0.2 0.13]","[0.07666666666666666 0.04 0.03833333333333333]","[115.19810199874155 118.68482761307564 119.74089341515713]","[0.659543219658816 0.9859467163788685 0.5032862073836883]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[0 2 5]","[444 437 452]"
"40","3","239","[37 37 37]","[0.38 0.35 0.42]","[0.54 0.5116666666666667 0.5449999999999999]","[85.10926224218275 84.80011555389756 87.77446115205608]","[133.40174774337143 130.62742239252194 132.69015079234202]","[0.3283333333333333 0.53 0.4066666666666667]","[0.41833333333333333 0.31 0.37833333333333335]","[0.24833333333333332 0.14166666666666666 0.19666666666666666]","[0.005 0.018333333333333333 0.018333333333333333]","[106.05943127168081 106.590523988034 103.45116011788988]","[0.3749824865555374 0.20995719180709166 0.23953802491687348]","[0 0 0]","[0 0 0]","[1 1 1]","[0 0 0]","[1 3 5]","[431 444 423]"
"41","3","239","[37 37 37]","[0.38 0.43 0.37]","[0.54 0.5133333333333336 0.541666666666667]","[75.71762504331532 79.587118470265 77.53337963676714]","[129.05604058932 132.51417546862913 134.56450319388898]","[0.32166666666666666 0.335 0.3433333333333333]","[0.43833333333333335 0.35 0.335]","[0.21666666666666667 0.27 0.28]","[0.023333333333333334 0.045 0.041666666666666664]","[115.79872504287249 111.652580825578 113.54229344105507]","[1.2660194484952538 0.4696844062320825 0.5709303633730973]","[1 1 1]","[0 0 0]","[0 0 0]","[0 0 0]","[3 2 2]","[443 409 409]"
