"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"nu_of_neighborhoods_4_6_8"
"06/06/2021 23:04:33:614 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"40","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.3325","0.5349999999999997","58.79261292420972","27.11704212921774","0.10614420082355025","128.79464899444207"
"41","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.32499999999999996","0.5528571428571429","59.95242400747614","27.549145004513495","0.11176230050395759","131.13378566154802"
"42","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.29000000000000004","0.5546428571428574","59.16132935927656","27.795918409892472","0.10490207722935026","130.42780855461902"
"43","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.335","0.5432142857142859","59.576673169630645","26.34055852196803","0.08503634994796982","129.22252069449286"
"44","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","55","0.3475","0.5350000000000001","58.61110762807472","29.765882255804353","0.0803082310788966","133.1058610728665"
"45","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.34","0.5414285714285714","60.16888823033163","27.07792970308456","0.1062573710269291","130.83630843263606"
"46","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.30750000000000005","0.5489285714285712","59.652972384892664","27.34299444557348","0.10961015734704489","130.40149459611422"
"47","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.35","0.5474999999999999","59.94746901495339","26.960821425660974","0.10070600514057021","130.43123666802197"
"48","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.345","0.5421428571428573","60.139580501679895","27.17487612621587","0.09853595700632099","131.09876888070693"
"49","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.3225","0.5496428571428571","55.44491339642425","31.643704563766068","0.10968591699636648","130.53755259261214"
"50","0.002","7","false","0.02","4","2","700","false","high temperature rise","0.01","4","15","239","37","0.34","0.5403571428571428","59.40273934109521","27.270266862126633","0.11854532819022837","129.72078802944938"
"51","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3383333333333333","0.5283333333333333","59.42287606237927","26.66716781080076","0.09690006036820904","129.25136180520164"
"53","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3316666666666667","0.5464285714285713","59.5778472516004","27.42835461067112","0.11460757393287793","130.31079647107796"
"52","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3183333333333333","0.5457142857142858","59.255943109263335","26.87192634549409","0.09072315446766198","129.44674253234"
"55","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3166666666666667","0.5438095238095237","59.306161014005106","27.50395882484907","0.11572837512424315","129.98267290756826"
"54","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","57","0.34","0.5333333333333332","63.130517851702855","24.78614654483928","0.08406734081633403","132.3254103265301"
"56","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.30333333333333334","0.5504761904761906","59.160710363050576","27.605032227536807","0.11074801519211093","130.02937507975543"
"57","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","63","0.3416666666666666","0.5621428571428573","60.49267021337193","28.238990152699188","0.08092226673260826","133.691190594581"
"58","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.33666666666666667","0.5257142857142858","56.892202634976435","29.700015046236132","0.0971069294329169","130.01240772417236"
"59","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","55","0.3566666666666667","0.5378571428571428","62.89957506094319","25.02234937518292","0.08350051526791163","132.3561823864406"
"60","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3333333333333333","0.5380952380952384","59.61569520366889","27.039911365038957","0.1034308523489699","129.9914522982586"
"61","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.32833333333333337","0.5376190476190477","59.296123811857655","27.302747815478938","0.10680932108549115","129.84054487789354"
"63","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.3","0.5404761904761908","58.51731459858524","27.275416020782284","0.10410367876289968","128.658781021303"
"62","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","67","0.4116666666666666","0.5221428571428572","65.57256798561932","23.820448771517615","0.10037514232211038","134.2282472196951"
"65","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","41","0.3066666666666667","0.5421428571428568","57.5089473753663","29.594394205345182","0.08944817328066251","130.96794400793166"
"64","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","39","0.2966666666666667","0.5452380952380951","56.834588932914855","30.42545968125761","0.11496554507826034","130.69947851642442"
"66","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","63","0.36000000000000004","0.5300000000000002","61.24554191012503","27.04336670191827","0.08798835561523646","132.82092455436205"
"67","0.002","7","false","0.02","6","2","700","false","high temperature rise","0.01","4","15","239","37","0.31","0.5533333333333332","59.09358658777064","27.72875558003987","0.11523860925043579","130.02324309276923"
