"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"gas_price_increase_0005-002"
"06/07/2021 00:25:28:882 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"47","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.33","0.5537142857142854","59.580756933566256","27.285118546514042","0.10858908722889851","130.21503466415214"
"49","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","39.4","0.364","0.5259999999999998","57.3137242443331","30.387296001238596","0.12198161386238411","131.21843309973676"
"51","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.33999999999999997","0.5408571428571425","59.46296440241153","27.490746350480595","0.11766348468592583","130.15879165548787"
"50","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.30600000000000005","0.5582857142857143","59.35391608952334","28.1803115045352","0.12168356243016235","130.98573394980932"
"52","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","56.2","0.33799999999999997","0.5471428571428572","62.975407931947124","25.17949332148328","0.08628847998373033","132.65980946778606"
"54","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.346","0.5457142857142854","60.38721739480755","26.72677744004088","0.09160904325483728","130.92678056347467"
"53","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","39.4","0.29000000000000004","0.5405714285714289","55.80922653119317","31.198667793372422","0.11149094743743718","130.39201011871145"
"55","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","61","0.384","0.5319999999999996","57.443078680145405","30.92994585709399","0.07463170549127228","133.22367698144456"
"56","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.338","0.5291428571428574","59.798516129973265","26.47998994978199","0.08758539455931498","129.72256089849648"
"57","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","39.4","0.328","0.5431428571428571","60.18482424506927","26.726559811460916","0.10867028154634539","130.29384992462877"
"58","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.306","0.5471428571428572","59.01303086254018","27.407945358125716","0.11349665017933575","129.4337065400641"
"59","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","68.2","0.404","0.5305714285714287","65.56917538033854","23.947800181046617","0.09251151930947543","134.6000114590488"
"60","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","15","239","37","0.31","0.544285714285714","59.33647452492888","27.2846581891769","0.09974695978627467","130.02166471300467"
"61","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.326","0.5528571428571425","55.79374384046946","52.2514199507369","0.11292644703499377","133.27951347993536"
"62","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.324","0.5534285714285718","56.19047623255751","51.81041608692299","0.12026282691765573","133.071850624345"
"63","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.324","0.54","54.975374352777806","52.31378008879957","0.12103725056987145","132.1412841552694"
"64","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.32599999999999996","0.5648571428571425","56.08111040898385","51.843433765717485","0.11913870582924205","132.9839601691295"
"65","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.276","0.5528571428571429","50.01966667954262","56.99707100438284","0.1089670083091022","132.05407007191303"
"66","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.28","0.5614285714285714","53.74757841654095","53.35942191224934","0.09229756447729472","132.52684095251766"
"67","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.35600000000000004","0.5557142857142856","56.70006998079165","51.61478792604743","0.12360382237548323","133.38504113185544"
"68","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.308","0.5368571428571429","50.15176239410041","56.08304448594052","0.09475105336736363","131.31171111519248"
"69","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.274","0.5665714285714287","50.51989229516602","57.320832865042334","0.10865371455106897","133.14372854628039"
"70","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.32","0.5562857142857145","55.48980913234913","52.37895171701806","0.10194204230451334","133.27233784438602"
"71","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.312","0.5585714285714283","55.115339012279556","52.42618495049999","0.09275812943472772","133.04818030813098"
"72","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.015","4","15","239","61","0.33999999999999997","0.5422857142857143","55.021722226512736","51.47433369945601","0.09682596716886138","131.60970773995618"
